gene,compartment,log2FoldChange,abs_log2FC,padj,negLogP,tau_specificity,detection_rate_cirrh,pathway_relevance,druggability,surface_or_secreted,literature_fibrosis,cci_evidence,rule_score,ml_score,final_score,translational_category
ACKR1,Endothelial,4.254394628582737,4.254394628582737,1.361683580061857e-07,6.865923799470384,0.958667113546299,0.36120527306967987,1,1,1,1,0.0,0.6813079384283289,1.0,0.7769155568998303,"Therapeutic (druggable, tractable)"
ACKR1,Mesenchyme,5.578782603734102,5.578782603734102,0.0115894013616549,1.9359389964819995,0.958667113546299,0.06382978723404255,1,1,1,1,0.0,0.665509824135741,0.8603790950556585,0.7239706054117161,"Therapeutic (druggable, tractable)"
TIMP1,Mesenchyme,3.484693078863653,3.484693078863653,3.4261022639021883e-09,8.465199678152299,0.46761823862345636,0.9535783365570599,1,1,1,1,0.0,0.6136568517658332,0.8786915262925921,0.6931672541238608,"Therapeutic (druggable, tractable)"
COL3A1,Mesenchyme,3.623228596362839,3.623228596362839,7.36071402931501e-17,16.133080054690993,0.9750548398611036,0.6441005802707931,1,0,1,1,0.0,0.5806302113909512,0.9358193897203486,0.6871869648897704,Diagnostic / surface biomarker
PLVAP,Mesenchyme,4.228361481769409,4.228361481769409,1.7198904240522874e-06,5.764499221549054,0.964891553626936,0.09671179883945841,1,0,1,1,0.0,0.5019022191975193,0.9014693840798901,0.6217723686622305,Diagnostic / surface biomarker
PDGFRA,Mesenchyme,3.2839837544874038,3.2839837544874038,2.710864306762984e-07,6.566892220633806,0.9689224156937088,0.32495164410058025,0,1,1,1,0.0,0.5563691698772328,0.7211225816056602,0.605795193395761,"Therapeutic (druggable, tractable)"
CTHRC1,Mesenchyme,3.796777305225618,3.796777305225618,1.3596534546030963e-09,8.866571769520867,0.7698138377906504,0.18568665377176016,1,0,1,1,0.0,0.46595900035057325,0.8487339154217796,0.5807914748719352,Diagnostic / surface biomarker
COL1A1,Mesenchyme,4.7733006575136,4.7733006575136,3.6941916741563897e-26,25.432480574821913,0.9786408536230015,0.6286266924564797,1,0,0,1,0.0,0.6388589279151785,0.40613791827961165,0.5690426250245084,Mechanistic biomarker
LOXL2,Mesenchyme,2.7906660852944007,2.7906660852944007,0.0250651181929627,1.6009302431582293,0.9204829002092314,0.07156673114119923,1,1,0,1,0.0,0.5910918110650482,0.514690003752631,0.568171268871323,Therapeutic (pathway target)
GPNMB,Mesenchyme,2.027692680860913,2.027692680860913,0.0084108076701147,2.075162297920064,0.9327844421829631,0.172147001934236,1,0,0,1,0.0,0.43782640057798317,0.3987136174469983,0.4260925656386877,Mechanistic biomarker
COL1A2,Mesenchyme,3.954841919733637,3.954841919733637,1.5689953253403452e-13,12.804378350346726,0.9837995253255528,0.6537717601547389,1,0,0,0,0.0,0.47990259221352394,0.27752319686324034,0.41918877360843887,Mechanistic biomarker
LOX,Mesenchyme,8.49579663935915,8.49579663935915,0.0002686046401077,3.5708864892258902,0.8000902306590721,0.1644100580270793,1,0,0,0,0.0,0.46240604672184715,0.23698237286522736,0.3947789445648612,Mechanistic biomarker
FN1,Macrophage,4.194090239070345,4.194090239070345,0.0055718114332241,2.2540035898245256,0.9060235986211486,0.08150619637750238,1,0,0,0,0.6937404503124291,0.39314370754657424,0.24626380409371917,0.34907973651071766,Mechanistic biomarker
BGN,Mesenchyme,1.3511687160269128,1.3511687160269128,0.0322581077865876,1.4913611112789005,0.966937362559591,0.941972920696325,1,0,0,0,0.0,0.4049480620217878,0.2173635552740584,0.34867270999746897,Mechanistic biomarker
PECAM1,Mesenchyme,3.881242973696249,3.881242973696249,0.0001393833649444,3.8557890551042204,0.8964005768577431,0.09090909090909091,0,0,1,0,0.0,0.2706701691169836,0.5188993714150795,0.34513892980641236,Diagnostic / surface biomarker
